Customer_ID,First_Name,Last_Name,Gender,Age,Date_of_Birth,City,State,Favorite_Team,Occupation,Annual_Income,Loyalty_Tier,Email,Phone,Registration_Date
C00064,Ekansh,Dhar,Male,27,1999-06-10,Ahmedabad,Gujarat,CSK,Data Scientist,1349240,Silver,ekansh.dhar833@yahoo.com,8687656433,2024-07-03
C00065,Saanvi,Arya,Female,32,1994-04-08,Mumbai,Maharashtra,MI,Marketing Executive,456053,Silver,saanvi.arya678@gmail.com,7865116697,2024-02-14
C00066,Jai,Raghavan,Male,38,1988-08-20,Kolkata,West Bengal,DC,Police Officer,595369,Silver,jai.raghavan989@yahoo.com,6916547754,2024-06-14
C00067,Chaman,Toor,Female,37,1989-05-02,Jaipur,Rajasthan,GT,Civil Engineer,1479677,Bronze,chaman.toor292@gmail.com,9729149243,2024-01-28
C00068,David,Memon,Male,30,1996-04-13,Chennai,Tamil Nadu,RCB,Software Engineer,1268330,Gold,david.memon811@yahoo.com,8128617400,2024-09-19
C00069,Sathvik,Ray,Male,23,2003-10-17,Ahmedabad,Gujarat,CSK,Marketing Executive,599183,Bronze,sathvik.ray245@gmail.com,6660845657,2024-10-25
C00070,Shivansh,Pal,Male,38,1988-10-14,Mumbai,Maharashtra,RR,Data Scientist,1797826,Platinum,shivansh.pal977@gmail.com,9346920737,2025-10-05
C00071,Dominic,Mishra,Male,30,1996-03-02,Delhi,Delhi,SRH,Teacher,787192,Platinum,dominic.mishra647@hotmail.com,8807420109,2025-06-11
C00072,Advay,Nath,Male,42,1984-05-02,Hyderabad,Telangana,RCB,Data Analyst,1187584,Bronze,advay.nath819@gmail.com,7444931637,2024-09-30
C00073,Tamanna,Pai,Female,36,1990-07-20,Mumbai,Maharashtra,SRH,Sales Executive,407581,Bronze,tamanna.pai314@yahoo.com,6646308392,2026-03-21
C00074,Meera,Arya,Female,23,2003-07-12,Lucknow,Uttar Pradesh,PBKS,Teacher,332653,Bronze,meera.arya36@hotmail.com,8073356693,2026-02-20
C00075,Wriddhish,Kaur,Male,20,2006-07-11,Kolkata,West Bengal,MI,Student,13586,Silver,wriddhish.kaur531@hotmail.com,6917726692,2024-05-18
C00076,Urvi,Pant,Female,32,1994-02-26,Delhi,Delhi,RR,Data Scientist,1853427,Silver,urvi.pant872@yahoo.com,8796751217,2024-01-27
C00077,Harrison,Bumb,Male,32,1994-09-05,Mohali,Punjab,GT,Data Scientist,1348629,Bronze,harrison.bumb539@hotmail.com,6780964638,2026-03-09
C00078,Tanish,Chaudhary,Male,27,1999-07-17,Bengaluru,Karnataka,PBKS,Graphic Designer,460448,Bronze,tanish.chaudhary331@outlook.com,8398826513,2025-06-30
C00079,Rudra,Thakur,Male,44,1982-10-05,Mumbai,Maharashtra,RR,Entrepreneur,3332158,Gold,rudra.thakur846@gmail.com,9097225608,2025-07-12
C00080,Tarak,Bhasin,Male,60,1966-04-26,Ahmedabad,Gujarat,RCB,Data Scientist,2144127,Bronze,tarak.bhasin426@hotmail.com,6431839337,2025-06-11
C00081,Hitesh,Deshmukh,Male,32,1994-02-09,Jaipur,Rajasthan,MI,Student,26531,Bronze,hitesh.deshmukh885@hotmail.com,6281353745,2025-05-25
C00082,Hemal,Tripathi,Female,26,2000-07-17,Jaipur,Rajasthan,LSG,Business Owner,3560298,Bronze,hemal.tripathi507@yahoo.com,6201123400,2025-07-29
C00083,Logan,Pillai,Male,26,2000-07-17,Jaipur,Rajasthan,DC,Government Employee,1053516,Silver,logan.pillai132@gmail.com,9373971550,2024-05-20
C00084,Nisha,Mittal,Female,43,1983-08-05,Mohali,Punjab,GT,Doctor,2175588,Gold,nisha.mittal167@yahoo.com,6972385728,2025-01-12
C00085,Jagat,Dhillon,Male,21,2005-10-10,Bengaluru,Karnataka,SRH,Government Employee,1087436,Silver,jagat.dhillon739@outlook.com,9516681609,2024-04-22
C00086,Nihal,Bail,Male,31,1995-03-14,Hyderabad,Telangana,RCB,Entrepreneur,4456113,Gold,nihal.bail723@gmail.com,8559439455,2025-11-23
C00087,Varsha,Mitra,Female,39,1987-10-16,Hyderabad,Telangana,LSG,Government Employee,985196,Bronze,varsha.mitra790@yahoo.com,7764459725,2025-07-10
C00088,Amol,Dara,Male,56,1970-03-10,Bengaluru,Karnataka,RCB,Data Scientist,1426376,Gold,amol.dara766@yahoo.com,6282521720,2025-06-27
C00089,Charan,Mody,Male,18,2008-07-11,Jaipur,Rajasthan,CSK,Doctor,821732,Platinum,charan.mody417@outlook.com,6419369055,2026-01-10
C00090,Yasti,Thaman,Female,19,2007-07-27,Mumbai,Maharashtra,LSG,Data Analyst,916278,Silver,yasti.thaman960@outlook.com,7805192954,2024-05-17
C00091,Raksha,Singhal,Female,28,1998-02-11,Mumbai,Maharashtra,DC,Government Employee,1153504,Bronze,raksha.singhal810@yahoo.com,7571888506,2024-07-08
C00092,Vrishti,Parmar,Female,28,1998-01-09,Ahmedabad,Gujarat,MI,Government Employee,745637,Bronze,vrishti.parmar268@gmail.com,7601345873,2024-04-30
C00093,Jeremiah,Bahl,Male,56,1970-10-08,Hyderabad,Telangana,LSG,Freelancer,571253,Bronze,jeremiah.bahl426@yahoo.com,6788765755,2025-01-05
C00094,Fariq,Naidu,Male,25,2001-09-17,Hyderabad,Telangana,SRH,Doctor,1490118,Bronze,fariq.naidu120@hotmail.com,8748401455,2025-11-19
C00095,Jalsa,Mahajan,Female,41,1985-05-27,Bengaluru,Karnataka,DC,Mechanical Engineer,576577,Bronze,jalsa.mahajan718@yahoo.com,9508942116,2026-01-16
C00096,Agastya,Parikh,Male,31,1995-08-28,Ahmedabad,Gujarat,RCB,Civil Engineer,639449,Silver,agastya.parikh122@yahoo.com,8931987947,2025-03-10
C00097,Tejas,Mukherjee,Male,38,1988-08-12,Mumbai,Maharashtra,MI,Student,16891,Gold,tejas.mukherjee630@hotmail.com,9205468204,2025-07-06
C00098,Ekaraj,Amble,Male,46,1980-03-17,Kolkata,West Bengal,MI,Mechanical Engineer,834394,Silver,ekaraj.amble243@yahoo.com,7895425571,2025-11-26
C00099,Qadim,Sem,Male,30,1996-11-22,Ahmedabad,Gujarat,DC,Sales Executive,736548,Bronze,qadim.sem386@yahoo.com,8748378959,2025-07-24
C00100,Bahadurjit,Mand,Male,29,1997-04-11,Chennai,Tamil Nadu,GT,Banker,693911,Silver,bahadurjit.mand53@outlook.com,7360085622,2024-12-06
C00101,Darsh,Srinivasan,Male,51,1975-04-24,Chennai,Tamil Nadu,DC,Freelancer,758754,Silver,darsh.srinivasan407@outlook.com,8573532540,2026-01-09
C00102,Fitan,Modi,Male,38,1988-06-11,Ahmedabad,Gujarat,CSK,Chartered Accountant,2254518,Bronze,fitan.modi567@yahoo.com,6212525937,2025-05-15
C00103,Urvashi,Shanker,Female,42,1984-08-06,Delhi,Delhi,MI,Civil Engineer,1012036,Bronze,urvashi.shanker537@gmail.com,9808001601,2024-08-11
C00104,Matthew,Ray,Male,34,1992-11-22,Mohali,Punjab,GT,Freelancer,282991,Bronze,matthew.ray13@hotmail.com,9529086891,2024-04-08
C00105,Yuvraj,Sagar,Male,22,2004-09-09,Delhi,Delhi,MI,Lawyer,765715,Bronze,yuvraj.sagar471@hotmail.com,8926868703,2025-07-19
C00106,Simon,Kadakia,Male,37,1989-02-16,Ahmedabad,Gujarat,RR,Sales Executive,893343,Platinum,simon.kadakia917@gmail.com,9296529625,2025-11-04
C00107,Gaurav,Varty,Male,55,1971-01-07,Mohali,Punjab,MI,Lawyer,761349,Bronze,gaurav.varty581@outlook.com,6653776073,2024-04-10
C00108,Michael,Kibe,Male,40,1986-10-25,Mohali,Punjab,LSG,Lawyer,2222262,Bronze,michael.kibe803@yahoo.com,6439466067,2025-12-31
C00109,Aarush,Grewal,Male,31,1995-12-26,Mumbai,Maharashtra,DC,Sales Executive,678221,Bronze,aarush.grewal966@gmail.com,7471045510,2025-07-21
C00110,Ikbal,Deep,Male,30,1996-07-01,Kolkata,West Bengal,RCB,Data Scientist,1873433,Gold,ikbal.deep586@outlook.com,8612211227,2025-01-04
C00111,Liam,Butala,Male,23,2003-08-20,Mohali,Punjab,MI,Student,71035,Bronze,liam.butala341@hotmail.com,6833889139,2024-07-24
C00112,Dominic,Saini,Male,21,2005-06-10,Jaipur,Rajasthan,LSG,Chartered Accountant,1383432,Bronze,dominic.saini374@hotmail.com,9919170792,2026-03-27
C00113,Lohit,Gera,Male,41,1985-11-16,Mumbai,Maharashtra,SRH,Chartered Accountant,1229911,Silver,lohit.gera809@hotmail.com,6094459657,2025-01-03
C00114,Bhavani,Cherian,Female,44,1982-11-03,Chennai,Tamil Nadu,DC,Banker,848837,Silver,bhavani.cherian577@gmail.com,6937102756,2024-08-14
C00115,Farhan,Mander,Male,34,1992-12-17,Mumbai,Maharashtra,RCB,Software Engineer,1612444,Bronze,farhan.mander943@hotmail.com,9191342444,2025-12-14
C00116,Girish,Sachar,Male,18,2008-12-04,Bengaluru,Karnataka,PBKS,Student,86168,Gold,girish.sachar529@outlook.com,8534476163,2026-01-25
C00117,Jacob,Shanker,Male,22,2004-07-13,Bengaluru,Karnataka,RR,Business Owner,2934925,Silver,jacob.shanker592@gmail.com,9753116493,2025-02-01
C00118,Sathvik,Arora,Male,30,1996-06-28,Jaipur,Rajasthan,SRH,Marketing Executive,994333,Silver,sathvik.arora321@outlook.com,9213135544,2025-07-04
C00119,Sudiksha,Jain,Female,37,1989-09-06,Jaipur,Rajasthan,RCB,Teacher,629861,Gold,sudiksha.jain887@gmail.com,7941356447,2025-03-30
C00120,Yug,Verma,Male,18,2008-04-10,Bengaluru,Karnataka,MI,Civil Engineer,802692,Bronze,yug.verma580@hotmail.com,6511783807,2025-07-13
C00121,Tanveer,Shankar,Male,28,1998-05-28,Bengaluru,Karnataka,KKR,Banker,682416,Bronze,tanveer.shankar795@gmail.com,8276864678,2024-03-01
C00122,Samuel,Golla,Male,34,1992-09-06,Delhi,Delhi,LSG,Marketing Executive,653387,Silver,samuel.golla139@gmail.com,6998182787,2025-11-23
C00123,Saksham,Vohra,Male,23,2003-05-21,Ahmedabad,Gujarat,RCB,Data Scientist,2028813,Silver,saksham.vohra413@gmail.com,7684458809,2025-10-12
C00124,Rachana,Nagi,Female,26,2000-09-13,Hyderabad,Telangana,LSG,Business Owner,4749969,Bronze,rachana.nagi346@yahoo.com,8543600741,2024-06-10
C00125,Samuel,Cherian,Male,21,2005-04-23,Mumbai,Maharashtra,GT,Marketing Executive,516699,Gold,samuel.cherian96@yahoo.com,7239133626,2025-12-21
C00126,Noah,Acharya,Male,18,2008-03-19,Hyderabad,Telangana,KKR,Police Officer,359738,Bronze,noah.acharya837@yahoo.com,9941037138,2024-05-20
C00127,Peter,Yadav,Male,37,1989-11-22,Mumbai,Maharashtra,CSK,Mechanical Engineer,508886,Silver,peter.yadav451@outlook.com,7761468017,2025-08-26
C00128,Rajata,Aurora,Female,31,1995-06-26,Mumbai,Maharashtra,MI,Data Scientist,1220443,Silver,rajata.aurora798@yahoo.com,9863557208,2024-09-02
C00129,Balvan,Konda,Male,21,2005-11-20,Chennai,Tamil Nadu,KKR,Software Engineer,1357277,Gold,balvan.konda397@outlook.com,6367970020,2024-03-02
C00130,Damyanti,Nigam,Female,29,1997-11-23,Lucknow,Uttar Pradesh,DC,Nurse,667950,Bronze,damyanti.nigam285@outlook.com,9352853686,2024-03-08
C00131,Manbir,Chaudhry,Male,28,1998-01-08,Chennai,Tamil Nadu,GT,Student,237697,Silver,manbir.chaudhry317@gmail.com,8177195771,2024-05-09
C00132,Udyati,Srivastava,Female,48,1978-01-11,Ahmedabad,Gujarat,MI,Data Scientist,1251445,Silver,udyati.srivastava509@gmail.com,6508117861,2026-01-28
C00133,Jacob,Nadkarni,Male,24,2002-01-08,Bengaluru,Karnataka,KKR,Lawyer,914750,Bronze,jacob.nadkarni567@gmail.com,6229385160,2024-08-16
C00134,Yutika,Arora,Female,57,1969-02-15,Kolkata,West Bengal,DC,Marketing Executive,693199,Bronze,yutika.arora9@hotmail.com,7253645471,2025-07-13
C00135,Xalak,Walia,Female,18,2008-07-01,Hyderabad,Telangana,SRH,Software Engineer,1302582,Bronze,xalak.walia870@hotmail.com,7152409709,2025-06-16
C00136,Wahab,Nori,Male,59,1967-12-03,Mohali,Punjab,CSK,Doctor,2454029,Bronze,wahab.nori446@gmail.com,8223877320,2024-07-26
C00137,Devansh,Kaul,Male,36,1990-03-04,Mumbai,Maharashtra,KKR,Sales Executive,726259,Bronze,devansh.kaul988@yahoo.com,8448083762,2024-12-01
C00138,Faras,Rout,Male,40,1986-07-17,Bengaluru,Karnataka,RR,Government Employee,582313,Bronze,faras.rout876@hotmail.com,6550171072,2024-07-21
C00139,Madhavi,Krish,Female,26,2000-10-19,Kolkata,West Bengal,GT,Data Scientist,745718,Platinum,madhavi.krish925@outlook.com,6808819094,2026-01-11
C00140,Abhimanyu,Lall,Male,23,2003-07-06,Delhi,Delhi,MI,Teacher,588339,Bronze,abhimanyu.lall36@outlook.com,8648403467,2024-09-12
C00141,Akshay,Lal,Male,35,1991-07-26,Delhi,Delhi,KKR,Freelancer,971491,Gold,akshay.lal398@yahoo.com,7132870957,2024-08-26
C00142,Ekaja,Sahni,Female,23,2003-04-09,Lucknow,Uttar Pradesh,PBKS,Data Analyst,730069,Silver,ekaja.sahni364@hotmail.com,8158690795,2025-07-30
C00143,Tanmayi,Rai,Female,42,1984-09-10,Mumbai,Maharashtra,KKR,Data Scientist,817792,Bronze,tanmayi.rai21@outlook.com,6092179830,2025-08-23
C00144,Yachana,Ganesh,Female,18,2008-09-28,Delhi,Delhi,LSG,Banker,1329624,Silver,yachana.ganesh310@yahoo.com,7119796196,2025-09-20
C00145,Charvi,Magar,Female,22,2004-03-13,Kolkata,West Bengal,DC,Marketing Executive,483534,Bronze,charvi.magar972@gmail.com,6875138661,2025-05-23
C00146,Udarsh,Bala,Male,38,1988-06-11,Mumbai,Maharashtra,SRH,Data Scientist,2186809,Silver,udarsh.bala458@yahoo.com,9220210379,2025-02-27
C00147,Harsh,Warrior,Male,33,1993-07-04,Jaipur,Rajasthan,DC,Mechanical Engineer,1182591,Silver,harsh.warrior167@outlook.com,6082390137,2025-07-14
C00148,Yadavi,Saran,Female,55,1971-10-20,Jaipur,Rajasthan,RR,Nurse,642693,Bronze,yadavi.saran161@hotmail.com,9121677222,2024-02-20
C00149,Aryan,Ratti,Male,32,1994-03-02,Delhi,Delhi,CSK,Data Scientist,1317714,Gold,aryan.ratti205@hotmail.com,9012083346,2024-04-03
C00150,Faras,Jha,Male,30,1996-07-12,Mumbai,Maharashtra,KKR,Government Employee,861101,Bronze,faras.jha858@outlook.com,7516068472,2024-03-03
C00151,Meghana,Deep,Female,41,1985-09-22,Jaipur,Rajasthan,SRH,Chartered Accountant,1698794,Bronze,meghana.deep925@hotmail.com,9598661719,2024-08-04
C00152,Anamika,Sibal,Female,21,2005-02-22,Ahmedabad,Gujarat,MI,Doctor,1881653,Bronze,anamika.sibal90@gmail.com,6558590757,2024-04-25
C00153,Mohammed,Sawhney,Male,22,2004-10-25,Chennai,Tamil Nadu,GT,Mechanical Engineer,1317411,Bronze,mohammed.sawhney889@yahoo.com,7826541466,2025-02-15
C00154,Ojas,Walia,Male,55,1971-12-08,Bengaluru,Karnataka,DC,Government Employee,790532,Bronze,ojas.walia319@yahoo.com,7886923773,2026-01-16
C00155,Ishwar,Jani,Male,38,1988-08-07,Ahmedabad,Gujarat,DC,Graphic Designer,692073,Gold,ishwar.jani68@outlook.com,7747551820,2024-02-03
C00156,Devansh,Chandran,Male,51,1975-05-12,Jaipur,Rajasthan,KKR,Student,16023,Bronze,devansh.chandran609@hotmail.com,6185318762,2025-01-30
C00157,Hritik,Salvi,Male,51,1975-04-21,Hyderabad,Telangana,RR,Government Employee,1083238,Bronze,hritik.salvi886@gmail.com,9411826977,2024-10-08
C00158,Max,Mody,Male,30,1996-08-09,Hyderabad,Telangana,KKR,Graphic Designer,716444,Silver,max.mody524@gmail.com,7552643232,2025-11-02
C00159,Vasatika,Bose,Female,54,1972-04-05,Lucknow,Uttar Pradesh,DC,Data Analyst,1129180,Bronze,vasatika.bose698@yahoo.com,8769243075,2024-07-13
C00160,Pranav,Mishra,Male,43,1983-11-26,Jaipur,Rajasthan,GT,Banker,1563916,Bronze,pranav.mishra861@outlook.com,8247759986,2024-08-15
C00161,Ayaan,Dey,Male,39,1987-07-26,Delhi,Delhi,RCB,Mechanical Engineer,808334,Bronze,ayaan.dey482@gmail.com,9859085832,2024-02-25
C00162,Ishani,Bakshi,Female,19,2007-06-14,Mohali,Punjab,GT,Police Officer,500181,Bronze,ishani.bakshi798@outlook.com,9461602717,2025-05-16
C00163,Gaurika,Mane,Female,37,1989-10-14,Ahmedabad,Gujarat,RCB,Freelancer,1053872,Bronze,gaurika.mane749@outlook.com,7987500728,2024-11-15
